dbn,beds
03M242,310300010242
09X564,320900011564
26Q067,342600010067
20K201,332000010201
84X609,320700861141
16K040,331600010040
84K803,331300861063
02M255,310200010255
12X318,321200010318
17K705,331700010705
30Q230,343000010230
10X437,321000011437
02M374,310200011374
84X486,320900861073
25Q185,342500010185
75K811,307500013811
01M292,310100011292
09X350,320900011350
84K882,333200861096
11X514,321100011514
31R060,353100010060
84M705,310400860806
19K618,331900011618
84K652,331800860916
28Q338,342800011338
26Q495,342600011495
28Q505,342800011505
02M126,310200010126
14K196,331400010196
04M007,310400010007
24Q089,342400010089
08X182,320800010182
06M528,310600010528
02M298,310200011298
02M267,310200010267
02M040,310200010040
84R012,353100861083
11X105,321100010105
24Q071,342400010071
17K532,331700010532
13K307,331300010307
10X549,321000011549
31R030,353100010030
27Q302,342700011302
04M224,310400010224
20K247,332000010247
20K768,
06M552,310600011552
11X249,321100011249
02M418,310200010418
84X718,321100860855
03M165,310300010165
79K983,
30Q084,343000010084
10X008,321000010008
21K468,332100011468
11X189,321100010189
29Q313,342900011313
25Q165,342500010165
84X539,321000860999
13K499,331300011499
06M423,310600011423
02M047,310200010047
27Q114,342700010114
15K676,331500010676
27Q377,342700010377
02M605,310200011605
75M721,307500011721
08X304,320800010304
20K229,332000010229
21K177,332100010177
27Q202,342700010202
84M336,310500860883
12X300,321200010300
03M485,310300011485
84K508,331300860902
84K785,331900860973
16K057,331600010057
02M001,310200010001
93M359,
03M054,310300010054
30Q150,343000010150
84K731,331600860847
02M111,310200010111
02M312,310200010312
07X259,320700011259
16K081,331600010081
08X371,320800010371
05M200,310500010200
84X579,321100861103
28Q174,342800010174
75K371,307500013371
13K020,331300010020
75Q224,307500014224
24Q013,342400010013
32K349,333200010349
08X392,320800010392
29Q327,342900011327
28Q680,342800011680
23K184,332300010184
84K395,332300861007
10X080,321000010080
02M343,310200010343
24Q028,342400010028
23K599,332300010599
28Q117,342800010117
22K119,332200010119
09X324,320900011324
10X382,321000010382
13K430,331300011430
07X473,320700011473
84X461,320900860962
28Q099,342800010099
31R001,353100010001
03M404,310300011404
07X043,320700010043
84K608,331800860908
31R020,353100010020
10X279,321000010279
18K588,331800010588
24Q744,342400011744
12X212,321200010212
17K316,331700010316
75Q255,307500014255
17K398,331700010398
28Q139,342800010139
12X691,321200011691
14K059,331400010059
09X231,320900011231
19K089,331900010089
18K235,331800010235
02M290,310200010290
84K772,332100861075
84X705,320900860839
75X754,307500012754
84K895,332100861123
31R056,353100010056
07X154,320700010154
08X452,320800011452
21K212,332100010212
05M517,310500010517
22K217,332200010217
20K445,332000011445
25Q409,
30Q398,343000010398
23K647,332300011647
14K017,331400010017
28Q190,342800010190
05M123,310500010123
13K527,331300011527
01M364,310100010364
84M522,310200860992
01M839,310100010839
84K757,331300861056
31R011,353100010011
25Q901,
20K682,332000010682
23K155,332300010155
84X616,321000861150
31R080,353100011080
84M168,310400861046
84K704,331700860841
16K455,331600011455
84Q388,342700861147
29Q238,342900010238
13K691,331300010691
06M103,310600010103
11X508,321100011508
11X288,321100011288
27Q096,342700010096
02M546,310200011546
09X543,320900011543
20K505,332000011505
27Q297,342700010297
07X343,320700010343
31R039,353100010039
84K359,331900860891
30Q580,343000011580
09X004,320900010004
06M210,310600010210
24Q600,342400011600
75M035,307500011035
27Q051,342700010051
16K035,331600010035
10X086,321000010086
07X029,320700010029
84X395,320700860926
02M413,310200010413
07X296,320700010296
84K711,332300860942
19K452,331900010452
84Q385,342500861133
84M350,310500860894
31R006,353100010006
03M333,310300010333
28Q310,342800011310
12X286,321200010286
84X617,321000861151
03M247,310300010247
84K791,332200860978
26Q172,342600010172
09X593,320900010593
05M157,310500011157
24Q610,342400011610
21K188,332100010188
31R038,353100010038
09X022,320900010022
01M140,310100010140
84X496,321100860948
10X213,321000011213
84X608,321100861120
26Q205,342600010205
10X244,321000010244
75Q004,307500014004
84K517,331300860901
17K012,331700010012
11X112,321100010112
12X242,321200010242
79M379,
15K094,331500010094
75X352,307500012352
21K209,332100010209
29Q251,342900010251
27Q124,342700010124
27Q309,342700011309
13K553,331300011553
08X530,320800011530
84K784,333200861045
27Q155,342700010155
19K404,331900011404
19K661,331900010661
05M092,310500010092
12X047,321200010047
05M133,310500010133
84Q170,342700860869
75R025,307500015025
04M155,310400010155
15K172,331500010172
22K889,332200010889
15K051,331500010051
30Q017,343000010017
79M993,
79Q950,
27Q137,342700010137
09X412,320900011412
84X460,321000861075
02M896,310200010896
11X106,321100010106
13K301,331300010301
15K684,331500011684
22K277,332200010277
84M284,310500860864
04M182,310400010182
84X208,320700861018
31R078,353100010078
12X478,321200011478
15K667,331500011667
25Q237,342500010237
11X169,321100010169
32K123,333200010123
84X589,321100861115
23K514,332300010514
06M052,310600010052
75Q075,307500014075
12X550,321200011550
01M020,310100010020
10X307,321000010307
84X487,320800860940
19K760,331900010760
22K240,332200010240
02M288,310200011288
